,0
0,28444445.509375345
1,70539132.23584089
2,1.1641660206055114e+27
3,27879465.21191298
4,84617936.26035175
5,164097922.22659355
6,20853257.389402494
7,72301696.01289725
8,328489752.15079415
9,33896686.157593004
10,89279224.4670635
11,9.24392699568172e+26
12,20620532.22538562
13,66137061.119759284
14,328451237.2850002
15,28290599.533846937
16,89434132.26695767
17,164124185.27164564
18,26931942.370884854
19,127444407.93317997
20,164410196.88933808
21,34121854.95221381
22,82566596.57087764
23,328446190.1074683
24,27261574.5161312
25,89319564.82221186
26,1.0380058238031536e+25
27,33677729.10779052
28,128620328.44359496
29,328424435.5786333
30,28472213.52957649
31,128338338.2260373
32,8.860066526654638e+26
33,31779905.466684848
34,89529053.7607343
35,328297992.75766504
36,27396019.71059653
37,67136622.69171205
38,1.957141002352163e+25
39,26965239.52914995
40,71878783.98290479
41,164164494.3600641
42,19429825.571533132
43,89405998.6902292
44,328448501.9549669
45,19424309.483956926
46,58489707.61008861
47,328451245.4858419
48,20773198.974487208
49,78511503.03044054
50,328451245.4858419
51,20853257.38940249
52,127581356.74350007
53,328479323.51201963
54,27543324.785581995
55,65740047.94736222
56,328373020.5691005
57,34993589.85866813
58,72899638.26275946
59,164037147.59381992
60,27228419.88411233
61,89607868.36829296
62,164263702.67716566
63,19392878.102647357
64,65734376.3042528
65,328447940.6752168
66,36477406.936300464
67,77549417.51939979
68,328451245.4858419
69,32734041.06666889
70,60214168.27199362
71,328424435.5786333
72,32581687.347128075
73,87008302.43513863
74,328448501.9549669
75,26678856.62767126
76,89446018.71121235
77,328451245.4858419
78,19421705.98710255
79,65903032.04141623
80,164034705.73752946
81,19426820.50536341
82,89376358.08920082
83,328401153.96096706
84,29423894.919237427
85,53618705.66184878
86,3.719503794274471e+26
87,34039572.0434528
88,52048497.803918764
89,164411703.43167022
90,28646291.069933403
91,65117858.04248329
92,328451245.4858419
93,27748806.57686492
94,188007536.7179153
95,328451245.4858419
96,28277804.927247453
97,127959687.79911938
98,328395813.677605
99,20773198.974487208
100,60939825.934543535
101,58630188323.40436
102,28652351.051434267
103,91667105.20865564
104,8.90867765901347e+24
105,33785750.698470384
106,128359538.04574192
107,823858482.1733288
108,27408412.832075186
109,128080413.36879317
110,164172007.0887104
111,34605342.253904104
112,92707826.17578676
113,3.874888064687062e+25
114,19434489.990507033
115,63228677.62932296
116,164129284.20760518
117,26814138.414429493
118,78250189.96521059
119,164123753.50813568
120,31590248.883560758
121,285956517.01726365
122,1031089810717.1514
123,32134602.738800324
124,68490919.538839
125,328425476.4681996
126,33264005.19625921
127,69126382.49903725
128,328240037.7125526
129,20773198.97448721
130,187732111.40695882
131,163973970.6962325
132,31791584.212370694
133,69081223.06506763
134,328448501.9549669
135,33157799.343663543
136,60510159.29856864
137,328451245.4858419
138,20853257.389402498
139,89242517.38068888
140,7.581229582016933e+25
141,19569795.376849834
142,83223783.97153473
143,328454213.8645356
144,27608229.8559699
145,128228901.70883134
146,164799388.24448237
147,19431133.8213306
148,53773533.784484185
149,328343291.9498011
150,28320930.544518016
151,65802736.66347071
152,328451245.4858419
153,34537356.7747125
154,73679398.17804427
155,328451245.4858419
156,32034267.18243553
157,187742372.43843254
158,328176734.906641
159,27412563.674989026
160,65556197.425951615
161,328451245.4858419
162,27006002.4415994
163,81241537.57719505
164,328124295.37274724
165,27253354.237837654
166,188120098.31164998
167,3.444418425922283e+27
168,20773198.97448721
169,285945066.8465743
170,164176005.3065936
171,27284677.47512444
172,56153359.308605455
173,328012645.2872336
174,33048092.32093169
175,89319407.1238167
176,49580561070.7458
177,26913368.144207638
178,59906785.89239627
179,1.5120758215459475e+27
180,19411467.89474585
181,64448229.75621631
182,164207531.71805924
183,25121882.49253983
184,285973958.47905475
185,7267840531.661013
186,31759055.15867626
187,76750984.32904147
188,328405687.1610486
189,30308822.724033423
190,73238542.70649698
191,8177862271.410136
192,26527693.972932488
193,77811349.96945897
194,328451245.4858419
195,19402183.272874508
196,70497850.4169981
197,328451245.4858419
198,26875580.904180355
199,128022912.72250041
200,328451245.4858419
201,32785468.927693762
202,75396573.86447515
203,3.6546782999955575e+25
204,27821683.9726713
205,66856831.85170355
206,328501579.79700816
207,32308069.587781984
208,106987160.93820696
209,328451245.4858419
210,20620532.225385625
211,71409174.69143334
212,8.461340975462828e+24
213,33157154.772875827
214,73778239.86506906
215,68123502582.015785
216,27067855.099294744
217,66231002.708146825
218,328250610.5798537
219,35560213.99053269
220,69433624.52184069
221,1.2861091691103936e+26
222,34048638.28363355
223,187347078.94813806
224,164164165.16187203
225,26843193.09260562
226,61185050.15815656
227,328451245.4858419
228,27500069.13022024
229,80979540.05681393
230,328453211.59247476
231,26217041.70121727
232,78582264.48300979
233,328435572.1588059
234,25920492.69338677
235,72365949.43379289
236,3858518112.347789
237,33317463.930640053
238,65512050.9775061
239,328116122.8311411
240,19402641.226338137
241,83190223.02179098
242,164156772.44222608
243,27559557.142465662
244,63876199.30671499
245,328448501.9549669
246,19357988.484363366
247,89615372.89642265
248,328434464.0908524
249,27916668.123951066
250,187792930.30916852
251,20889871695.41878
252,28003383.668439798
253,89201143.69920686
254,164432831.4959765
255,19399176.045031086
256,187833303.77264234
257,164797786.53993005
258,33993503.168807685
259,89792775.1188589
260,328448501.9549669
261,19370196.650891747
262,285974492.83051693
263,328442669.06017566
264,27525824.290932406
265,90275655.02867606
266,7.577302769545586e+25
267,26175329.87213203
268,73061382.15341614
269,13621689682.07346
270,30460657.3217601
271,56249390.139259025
272,328361284.7766059
273,33932333.14082698
274,62666159.75604467
275,1399900890.5458984
276,31300623.97251801
277,127915170.18830347
278,164427857.05591473
279,34210067.28317295
280,128895744.012743
281,104434963933.02037
282,27855074.133420467
283,83549474.85598688
284,328451245.4858419
285,33507796.98706767
286,62057881.88596747
287,523965341591.5794
288,19411342.09508898
289,188198841.5827535
290,164393815.04476005
291,33450895.789696388
292,61707763.77905037
