,0
0,8058185537944.1
1,33486508595338.605
2,33490468699582.367
3,8305671259775.162
4,33473441597331.855
5,33490469182104.22
6,8048946032582.635
7,25620430718716.156
8,33490468699582.367
9,8305384912191.537
10,25611753959970.637
11,33490468699582.367
12,8291845938200.487
13,25603351956611.883
14,19464756512822.508
15,8168980995914.9
16,25608515067041.24
17,33490468699582.367
18,8010238969697.9375
19,33473441746101.75
20,33490468699582.367
21,8115676997079.971
22,33486508316008.617
23,8307023445295.99
